Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Cumbria,Average Teaching Score,51.4,2010,51.4,85.0,3.0
Newman University College,Average Teaching Score,51.4,2010,51.4,85.0,3.0
York St John,Average Teaching Score,50.7,2010,50.7,87.0,3.0
Bedfordshire,Average Teaching Score,50.0,2010,50.0,88.0,3.0
Lincoln,Average Teaching Score,49.4,2010,49.4,89.0,3.0
Chester,Average Teaching Score,49.3,2010,49.3,90.0,3.0
Worcester,Average Teaching Score,49.2,2010,49.2,91.0,3.0
Glyndŵr,Average Teaching Score,48.9,2010,48.9,92.0,3.0
Salford,Average Teaching Score,48.6,2010,48.6,93.0,3.0
Winchester,Average Teaching Score,48.3,2010,48.3,94.0,2.0
Swansea,Average Teaching Score,48.1,2010,48.1,95.0,2.0
Huddersfield,Average Teaching Score,47.9,2010,47.9,96.0,2.0
Hertfordshire,Average Teaching Score,46.9,2010,46.9,97.0,2.0
Manchester Met,Average Teaching Score,46.9,2010,46.9,97.0,2.0
Marjon (St Mark and St John),Average Teaching Score,46.2,2010,46.2,99.0,2.0
Newport,Average Teaching Score,45.3,2010,45.3,100.0,2.0
Northampton,Average Teaching Score,45.3,2010,45.3,100.0,2.0
Leeds Met,Average Teaching Score,45.2,2010,45.2,102.0,2.0
Canterbury Christ Church,Average Teaching Score,44.8,2010,44.8,103.0,2.0
Edge Hill,Average Teaching Score,44.3,2010,44.3,104.0,2.0
Derby,Average Teaching Score,43.9,2010,43.9,105.0,2.0
Middlesex,Average Teaching Score,43.6,2010,43.6,106.0,1.0
Abertay Dundee,Average Teaching Score,43.4,2010,43.4,107.0,1.0
Roehampton,Average Teaching Score,43.1,2010,43.1,108.0,1.0
Greenwich,Average Teaching Score,42.5,2010,42.5,109.0,1.0
Westminster,Average Teaching Score,42.4,2010,42.4,110.0,1.0
Leeds Trinity & All Saints,Average Teaching Score,42.0,2010,42.0,111.0,1.0
Liverpool John Moores,Average Teaching Score,40.5,2010,40.5,112.0,1.0
Bucks New University,Average Teaching Score,39.6,2010,39.6,113.0,1.0
Bolton,Average Teaching Score,37.7,2010,37.7,114.0,1.0
Southampton Solent,Average Teaching Score,36.8,2010,36.8,115.0,1.0
East London,Average Teaching Score,34.6,2010,34.6,116.0,1.0
London South Bank,Average Teaching Score,30.1,2010,30.1,117.0,1.0
Oxford,NSS Teaching (%),91.9806386311312,2010,91.9806386311312,3.0,10.0
Cambridge,NSS Teaching (%),92.0,2010,92.0,2.0,10.0
St Andrews,NSS Teaching (%),93.6890378177512,2010,93.6890378177512,1.0,10.0
Warwick,NSS Teaching (%),85.5466620138486,2010,85.5466620138486,37.0,7.0
London School of Economics,NSS Teaching (%),73.3994834168619,2010,73.3994834168619,109.0,1.0
UCL,NSS Teaching (%),85.2968078824657,2010,85.2968078824657,41.0,7.0
Edinburgh,NSS Teaching (%),85.3399238706352,2010,85.3399238706352,40.0,7.0
Imperial College,NSS Teaching (%),81.4454853647649,2010,81.4454853647649,78.0,4.0
Bath,NSS Teaching (%),85.6205462217018,2010,85.6205462217018,35.0,7.0
Loughborough,NSS Teaching (%),89.7833967918594,2010,89.7833967918594,8.0,10.0
York,NSS Teaching (%),88.6166022134578,2010,88.6166022134578,12.0,10.0
SOAS,NSS Teaching (%),89.7176462786902,2010,89.7176462786902,9.0,10.0
Exeter,NSS Teaching (%),91.7401311830833,2010,91.7401311830833,4.0,10.0
Durham,NSS Teaching (%),87.0918604166056,2010,87.0918604166056,26.0,8.0
Leicester,NSS Teaching (%),90.298395299542,2010,90.298395299542,7.0,10.0
Lancaster,NSS Teaching (%),86.7742992773089,2010,86.7742992773089,27.0,8.0
Glasgow,NSS Teaching (%),88.5091139657061,2010,88.5091139657061,13.0,9.0
Sussex,NSS Teaching (%),87.8821761075396,2010,87.8821761075396,17.0,9.0
Aston,NSS Teaching (%),87.8912940357617,2010,87.8912940357617,16.0,9.0
Dundee,NSS Teaching (%),85.1471013598213,2010,85.1471013598213,43.0,7.0
City,NSS Teaching (%),79.9281482066842,2010,79.9281482066842,87.0,3.0
Heriot-Watt,NSS Teaching (%),80.7763407837063,2010,80.7763407837063,80.0,3.0
Southampton,NSS Teaching (%),85.5613765955691,2010,85.5613765955691,36.0,7.0
Birmingham,NSS Teaching (%),87.1973532171151,2010,87.1973532171151,25.0,8.0
King's College London,NSS Teaching (%),85.3983244860609,2010,85.3983244860609,39.0,7.0
Nottingham,NSS Teaching (%),85.6241347251631,2010,85.6241347251631,34.0,8.0
Surrey,NSS Teaching (%),80.3050406575638,2010,80.3050406575638,84.0,3.0
Leeds,NSS Teaching (%),84.9872490621474,2010,84.9872490621474,46.0,6.0
Bristol,NSS Teaching (%),86.1540277103081,2010,86.1540277103081,33.0,8.0
Sheffield,NSS Teaching (%),87.944206546703,2010,87.944206546703,15.0,9.0
Royal Holloway,NSS Teaching (%),84.5807867611334,2010,84.5807867611334,53.0,6.0
Bournemouth,NSS Teaching (%),81.8373274558424,2010,81.8373274558424,75.0,4.0
Manchester,NSS Teaching (%),83.0172090001922,2010,83.0172090001922,63.0,5.0
Aberdeen,NSS Teaching (%),90.8471004583827,2010,90.8471004583827,6.0,10.0
UEA,NSS Teaching (%),91.4813240468736,2010,91.4813240468736,5.0,10.0
Robert Gordon,NSS Teaching (%),,2010,,,
Stirling,NSS Teaching (%),,2010,,,
Strathclyde,NSS Teaching (%),83.6981276629996,2010,83.6981276629996,56.0,6.0
Goldsmiths,NSS Teaching (%),86.6297154749949,2010,86.6297154749949,28.0,8.0
Newcastle,NSS Teaching (%),84.7986437795673,2010,84.7986437795673,49.0,6.0
Reading,NSS Teaching (%),86.2071608435248,2010,86.2071608435248,31.0,8.0
Nottingham Trent,NSS Teaching (%),82.053865009242,2010,82.053865009242,71.0,4.0
Edinburgh Napier,NSS Teaching (%),,2010,,,
Cardiff,NSS Teaching (%),86.2752751846346,2010,86.2752751846346,30.0,8.0
Kent,NSS Teaching (%),87.6716051106996,2010,87.6716051106996,22.0,9.0
"University of the Arts, London",NSS Teaching (%),69.4375112884172,2010,69.4375112884172,112.0,1.0
Liverpool,NSS Teaching (%),83.5215811063719,2010,83.5215811063719,57.0,5.0
Essex,NSS Teaching (%),83.9609382171059,2010,83.9609382171059,54.0,6.0
"Queen's, Belfast",NSS Teaching (%),84.9541365133731,2010,84.9541365133731,48.0,6.0
Keele,NSS Teaching (%),86.5216574615336,2010,86.5216574615336,29.0,8.0
Plymouth,NSS Teaching (%),84.6874783284689,2010,84.6874783284689,51.0,6.0
Hull,NSS Teaching (%),88.130395973408,2010,88.130395973408,14.0,9.0
Northumbria,NSS Teaching (%),85.2850650139512,2010,85.2850650139512,42.0,7.0
Brunel,NSS Teaching (%),76.6249793938195,2010,76.6249793938195,101.0,1.0
Staffordshire,NSS Teaching (%),81.5632889924289,2010,81.5632889924289,76.0,4.0
Oxford Brookes,NSS Teaching (%),82.8445970716692,2010,82.8445970716692,64.0,5.0
Queen Margaret,NSS Teaching (%),,2010,,,
Queen Mary,NSS Teaching (%),81.868395568723,2010,81.868395568723,74.0,4.0
UWE Bristol,NSS Teaching (%),85.0484962597208,2010,85.0484962597208,44.0,7.0
Bath Spa,NSS Teaching (%),87.861313045026,2010,87.861313045026,19.0,9.0
UC Falmouth,NSS Teaching (%),77.8114840486012,2010,77.8114840486012,97.0,2.0
Sunderland,NSS Teaching (%),84.7301431626789,2010,84.7301431626789,50.0,6.0
Birmingham City,NSS Teaching (%),76.0224568263614,2010,76.0224568263614,103.0,1.0
Gloucestershire,NSS Teaching (%),80.011052211004,2010,80.011052211004,85.0,3.0
UWIC,NSS Teaching (%),81.9198474817109,2010,81.9198474817109,73.0,4.0
Glasgow Caledonian,NSS Teaching (%),82.2731798944438,2010,82.2731798944438,67.0,5.0
Sheffield Hallam,NSS Teaching (%),80.7319606622112,2010,80.7319606622112,81.0,3.0
"St Mary's UC, Twickenham",NSS Teaching (%),87.8616750425692,2010,87.8616750425692,18.0,9.0
Thames Valley,NSS Teaching (%),77.1636209937521,2010,77.1636209937521,99.0,2.0
Teesside,NSS Teaching (%),83.1630591946409,2010,83.1630591946409,61.0,5.0
Aberystwyth,NSS Teaching (%),87.8455253430379,2010,87.8455253430379,20.0,9.0
Bangor,NSS Teaching (%),83.7792111323697,2010,83.7792111323697,55.0,6.0
Kingston,NSS Teaching (%),82.1556944976585,2010,82.1556944976585,70.0,4.0
Brighton,NSS Teaching (%),83.3222746571145,2010,83.3222746571145,59.0,5.0
Coventry,NSS Teaching (%),79.2173617701083,2010,79.2173617701083,91.0,2.0
Ulster,NSS Teaching (%),76.3658239793222,2010,76.3658239793222,102.0,1.0
De Montfort,NSS Teaching (%),83.0439475249224,2010,83.0439475249224,62.0,5.0
Lampeter,NSS Teaching (%),87.4170000799261,2010,87.4170000799261,23.0,9.0
Portsmouth,NSS Teaching (%),87.7180262995605,2010,87.7180262995605,21.0,9.0
Glamorgan,NSS Teaching (%),79.8965635741225,2010,79.8965635741225,89.0,3.0
Chichester,NSS Teaching (%),89.2736991465582,2010,89.2736991465582,11.0,10.0
Central Lancashire,NSS Teaching (%),81.9557505845308,2010,81.9557505845308,72.0,4.0
Anglia Ruskin,NSS Teaching (%),77.1363141183536,2010,77.1363141183536,100.0,2.0
Bradford,NSS Teaching (%),77.3110934506768,2010,77.3110934506768,98.0,2.0
Cumbria,NSS Teaching (%),80.3606804751625,2010,80.3606804751625,83.0,3.0
Newman University College,NSS Teaching (%),89.2940891965634,2010,89.2940891965634,10.0,10.0
York St John,NSS Teaching (%),83.4586762261735,2010,83.4586762261735,58.0,5.0
Bedfordshire,NSS Teaching (%),80.5428624322762,2010,80.5428624322762,82.0,3.0
Lincoln,NSS Teaching (%),82.2650808287397,2010,82.2650808287397,68.0,4.0
Chester,NSS Teaching (%),84.6826973670886,2010,84.6826973670886,52.0,6.0
Worcester,NSS Teaching (%),84.9945720709212,2010,84.9945720709212,45.0,7.0
Glyndŵr,NSS Teaching (%),78.1808250821023,2010,78.1808250821023,94.0,2.0
Salford,NSS Teaching (%),81.3885812832551,2010,81.3885812832551,79.0,3.0
Winchester,NSS Teaching (%),87.2183172793894,2010,87.2183172793894,24.0,8.0
Swansea,NSS Teaching (%),86.1582610215286,2010,86.1582610215286,32.0,8.0
Huddersfield,NSS Teaching (%),77.8792233182214,2010,77.8792233182214,96.0,2.0
Hertfordshire,NSS Teaching (%),78.1581827018418,2010,78.1581827018418,95.0,2.0
Manchester Met,NSS Teaching (%),75.9132536495536,2010,75.9132536495536,105.0,1.0
Marjon (St Mark and St John),NSS Teaching (%),85.4363927649153,2010,85.4363927649153,38.0,7.0
Newport,NSS Teaching (%),75.6469322399468,2010,75.6469322399468,106.0,1.0
Northampton,NSS Teaching (%),84.9646536262349,2010,84.9646536262349,47.0,6.0
Leeds Met,NSS Teaching (%),72.4759774663742,2010,72.4759774663742,111.0,1.0
Canterbury Christ Church,NSS Teaching (%),83.2509595824804,2010,83.2509595824804,60.0,5.0
Edge Hill,NSS Teaching (%),82.3282722766329,2010,82.3282722766329,66.0,5.0
Derby,NSS Teaching (%),81.5364074830862,2010,81.5364074830862,77.0,4.0
Middlesex,NSS Teaching (%),78.2504867087288,2010,78.2504867087288,93.0,2.0
Abertay Dundee,NSS Teaching (%),,2010,,,
Roehampton,NSS Teaching (%),79.845248786297,2010,79.845248786297,90.0,2.0
Greenwich,NSS Teaching (%),82.5704127403355,2010,82.5704127403355,65.0,5.0
Westminster,NSS Teaching (%),74.8569001712893,2010,74.8569001712893,107.0,1.0
Leeds Trinity & All Saints,NSS Teaching (%),82.1801316526243,2010,82.1801316526243,69.0,4.0
Liverpool John Moores,NSS Teaching (%),78.8552364529892,2010,78.8552364529892,92.0,2.0
Bucks New University,NSS Teaching (%),74.421558446767,2010,74.421558446767,108.0,1.0
Bolton,NSS Teaching (%),79.9995759346313,2010,79.9995759346313,86.0,3.0
Southampton Solent,NSS Teaching (%),72.5213401233216,2010,72.5213401233216,110.0,1.0
East London,NSS Teaching (%),79.9272458296172,2010,79.9272458296172,88.0,3.0
London South Bank,NSS Teaching (%),75.9572330444769,2010,75.9572330444769,104.0,1.0
Oxford,Expenditure per student / 10,10.0,2010,10.0,1.0,10.0
Cambridge,Expenditure per student / 10,9.45732326224329,2010,9.45732326224329,2.0,10.0
St Andrews,Expenditure per student / 10,6.54941889483066,2010,6.54941889483066,23.0,9.0
Warwick,Expenditure per student / 10,8.76499145523479,2010,8.76499145523479,5.0,10.0
London School of Economics,Expenditure per student / 10,7.62454686690834,2010,7.62454686690834,9.0,10.0
UCL,Expenditure per student / 10,8.34320190785122,2010,8.34320190785122,7.0,10.0
Edinburgh,Expenditure per student / 10,9.25728370970615,2010,9.25728370970615,3.0,10.0
Imperial College,Expenditure per student / 10,8.82363320971408,2010,8.82363320971408,4.0,10.0
Bath,Expenditure per student / 10,5.5406657438534,2010,5.5406657438534,42.0,7.0
Loughborough,Expenditure per student / 10,5.71787053666349,2010,5.71787053666349,38.0,7.0
York,Expenditure per student / 10,7.48268812589413,2010,7.48268812589413,11.0,10.0
SOAS,Expenditure per student / 10,6.99239904988124,2010,6.99239904988124,15.0,9.0
Exeter,Expenditure per student / 10,4.5482023246478,2010,4.5482023246478,72.0,4.0
Durham,Expenditure per student / 10,4.5411744821499,2010,4.5411744821499,73.0,4.0
Leicester,Expenditure per student / 10,6.17707962461626,2010,6.17707962461626,30.0,8.0
Lancaster,Expenditure per student / 10,6.87809043250328,2010,6.87809043250328,17.0,9.0
Glasgow,Expenditure per student / 10,5.64764844944237,2010,5.64764844944237,40.0,7.0
Sussex,Expenditure per student / 10,4.65440073775941,2010,4.65440073775941,68.0,5.0
Aston,Expenditure per student / 10,5.27414762565636,2010,5.27414762565636,47.0,7.0
Dundee,Expenditure per student / 10,5.76947391239551,2010,5.76947391239551,36.0,7.0
City,Expenditure per student / 10,6.57885280413922,2010,6.57885280413922,22.0,9.0
Heriot-Watt,Expenditure per student / 10,6.49403605045539,2010,6.49403605045539,24.0,9.0
Southampton,Expenditure per student / 10,5.94401942881646,2010,5.94401942881646,34.0,8.0
Birmingham,Expenditure per student / 10,7.6177323723969,2010,7.6177323723969,10.0,10.0
King's College London,Expenditure per student / 10,7.1199160634711,2010,7.1199160634711,13.0,9.0
Nottingham,Expenditure per student / 10,6.58157460545995,2010,6.58157460545995,21.0,9.0
Surrey,Expenditure per student / 10,6.22018063052721,2010,6.22018063052721,29.0,8.0
Leeds,Expenditure per student / 10,6.93539846616176,2010,6.93539846616176,16.0,9.0
Bristol,Expenditure per student / 10,5.76824610671432,2010,5.76824610671432,37.0,7.0
Sheffield,Expenditure per student / 10,4.94957602248155,2010,4.94957602248155,59.0,5.0
Royal Holloway,Expenditure per student / 10,5.14047358529964,2010,5.14047358529964,52.0,6.0
Bournemouth,Expenditure per student / 10,6.1552777383151,2010,6.1552777383151,31.0,8.0
Manchester,Expenditure per student / 10,7.96534888176488,2010,7.96534888176488,8.0,10.0
Aberdeen,Expenditure per student / 10,5.13763154071399,2010,5.13763154071399,53.0,6.0
UEA,Expenditure per student / 10,5.39711675677849,2010,5.39711675677849,45.0,7.0
Robert Gordon,Expenditure per student / 10,4.45197256159989,2010,4.45197256159989,78.0,4.0
Stirling,Expenditure per student / 10,5.17706819857612,2010,5.17706819857612,49.0,6.0
Strathclyde,Expenditure per student / 10,6.04239296586386,2010,6.04239296586386,32.0,8.0
Goldsmiths,Expenditure per student / 10,3.9765323646787,2010,3.9765323646787,90.0,3.0
Newcastle,Expenditure per student / 10,5.06092503042264,2010,5.06092503042264,58.0,6.0
Reading,Expenditure per student / 10,4.91216046277666,2010,4.91216046277666,62.0,5.0
Nottingham Trent,Expenditure per student / 10,5.66848635235732,2010,5.66848635235732,39.0,7.0
Edinburgh Napier,Expenditure per student / 10,4.09810700107308,2010,4.09810700107308,85.0,3.0
Cardiff,Expenditure per student / 10,6.4423311635476,2010,6.4423311635476,26.0,8.0
Kent,Expenditure per student / 10,5.06145298014007,2010,5.06145298014007,57.0,6.0
"University of the Arts, London",Expenditure per student / 10,8.64250127097102,2010,8.64250127097102,6.0,10.0
Liverpool,Expenditure per student / 10,6.27231015791812,2010,6.27231015791812,27.0,8.0
Essex,Expenditure per student / 10,5.27024535364598,2010,5.27024535364598,48.0,6.0
"Queen's, Belfast",Expenditure per student / 10,4.58655292521545,2010,4.58655292521545,70.0,5.0
Keele,Expenditure per student / 10,4.07999820202178,2010,4.07999820202178,87.0,3.0
Plymouth,Expenditure per student / 10,7.10997040943265,2010,7.10997040943265,14.0,9.0
Hull,Expenditure per student / 10,4.46755211612183,2010,4.46755211612183,76.0,4.0
Northumbria,Expenditure per student / 10,4.85048639880331,2010,4.85048639880331,64.0,5.0
Brunel,Expenditure per student / 10,4.2785247006376,2010,4.2785247006376,81.0,4.0
Staffordshire,Expenditure per student / 10,6.66952776086074,2010,6.66952776086074,20.0,9.0
Oxford Brookes,Expenditure per student / 10,4.94447579886587,2010,4.94447579886587,60.0,5.0
Queen Margaret,Expenditure per student / 10,2.43099181420141,2010,2.43099181420141,115.0,1.0
Queen Mary,Expenditure per student / 10,5.89479526266778,2010,5.89479526266778,35.0,8.0
UWE Bristol,Expenditure per student / 10,3.62868938350523,2010,3.62868938350523,100.0,2.0
Bath Spa,Expenditure per student / 10,2.81931397665813,2010,2.81931397665813,110.0,1.0
UC Falmouth,Expenditure per student / 10,5.36438607805202,2010,5.36438607805202,46.0,7.0
Sunderland,Expenditure per student / 10,6.44847033285333,2010,6.44847033285333,25.0,8.0
Birmingham City,Expenditure per student / 10,5.6440398154892,2010,5.6440398154892,41.0,7.0
Gloucestershire,Expenditure per student / 10,6.26889703046664,2010,6.26889703046664,28.0,8.0
UWIC,Expenditure per student / 10,4.9239751552795,2010,4.9239751552795,61.0,5.0
Glasgow Caledonian,Expenditure per student / 10,3.57397927331752,2010,3.57397927331752,103.0,2.0
Sheffield Hallam,Expenditure per student / 10,4.45425373597073,2010,4.45425373597073,77.0,4.0
"St Mary's UC, Twickenham",Expenditure per student / 10,2.93111612749924,2010,2.93111612749924,108.0,1.0
Thames Valley,Expenditure per student / 10,6.70194647201946,2010,6.70194647201946,18.0,9.0
Teesside,Expenditure per student / 10,5.0770218579235,2010,5.0770218579235,55.0,6.0
Aberystwyth,Expenditure per student / 10,4.50665174271624,2010,4.50665174271624,74.0,4.0
Bangor,Expenditure per student / 10,5.14503882657463,2010,5.14503882657463,50.0,6.0
Kingston,Expenditure per student / 10,4.66668489938864,2010,4.66668489938864,67.0,5.0
Brighton,Expenditure per student / 10,4.6829979675551,2010,4.6829979675551,66.0,5.0
Coventry,Expenditure per student / 10,4.6314628491683,2010,4.6314628491683,69.0,5.0
Ulster,Expenditure per student / 10,4.23842926746174,2010,4.23842926746174,82.0,4.0
De Montfort,Expenditure per student / 10,3.63695937090433,2010,3.63695937090433,99.0,2.0
Lampeter,Expenditure per student / 10,3.7307452339688,2010,3.7307452339688,95.0,2.0
Portsmouth,Expenditure per student / 10,5.14344291044652,2010,5.14344291044652,51.0,6.0
Glamorgan,Expenditure per student / 10,4.56171963620499,2010,4.56171963620499,71.0,4.0
Chichester,Expenditure per student / 10,3.6905671005394,2010,3.6905671005394,97.0,2.0
Central Lancashire,Expenditure per student / 10,5.95280877624362,2010,5.95280877624362,33.0,8.0
Anglia Ruskin,Expenditure per student / 10,7.21701281499066,2010,7.21701281499066,12.0,10.0
Bradford,Expenditure per student / 10,5.07125972174603,2010,5.07125972174603,56.0,6.0
Cumbria,Expenditure per student / 10,5.52607332522874,2010,5.52607332522874,43.0,7.0
Newman University College,Expenditure per student / 10,2.8711277090731,2010,2.8711277090731,109.0,1.0
York St John,Expenditure per student / 10,5.5102207686018,2010,5.5102207686018,44.0,7.0
Bedfordshire,Expenditure per student / 10,3.68888718224407,2010,3.68888718224407,98.0,2.0
Lincoln,Expenditure per student / 10,2.78105637690939,2010,2.78105637690939,112.0,1.0
Chester,Expenditure per student / 10,3.58511786028944,2010,3.58511786028944,102.0,2.0
Worcester,Expenditure per student / 10,4.03686874015433,2010,4.03686874015433,89.0,3.0
Glyndŵr,Expenditure per student / 10,3.77552450318403,2010,3.77552450318403,94.0,2.0
Salford,Expenditure per student / 10,4.36421966729301,2010,4.36421966729301,80.0,4.0
Winchester,Expenditure per student / 10,2.30917003262267,2010,2.30917003262267,117.0,1.0
Swansea,Expenditure per student / 10,4.11177579283783,2010,4.11177579283783,84.0,3.0
Huddersfield,Expenditure per student / 10,3.85899385566674,2010,3.85899385566674,92.0,3.0
Hertfordshire,Expenditure per student / 10,4.69146863245847,2010,4.69146863245847,65.0,5.0
Manchester Met,Expenditure per student / 10,3.53297456655514,2010,3.53297456655514,104.0,2.0
Marjon (St Mark and St John),Expenditure per student / 10,2.34923308444753,2010,2.34923308444753,116.0,1.0
Newport,Expenditure per student / 10,3.70436347278452,2010,3.70436347278452,96.0,2.0
Northampton,Expenditure per student / 10,3.35529500327827,2010,3.35529500327827,107.0,1.0
Leeds Met,Expenditure per student / 10,5.08935258464271,2010,5.08935258464271,54.0,6.0
Canterbury Christ Church,Expenditure per student / 10,3.62726952229861,2010,3.62726952229861,101.0,2.0
Edge Hill,Expenditure per student / 10,3.49652318743523,2010,3.49652318743523,105.0,2.0
Derby,Expenditure per student / 10,4.47897955670003,2010,4.47897955670003,75.0,4.0
Middlesex,Expenditure per student / 10,6.68824265670738,2010,6.68824265670738,19.0,9.0
Abertay Dundee,Expenditure per student / 10,3.40970807875085,2010,3.40970807875085,106.0,1.0
Roehampton,Expenditure per student / 10,4.04100199807058,2010,4.04100199807058,88.0,3.0
Greenwich,Expenditure per student / 10,4.15601374570447,2010,4.15601374570447,83.0,3.0
Westminster,Expenditure per student / 10,4.08427533088502,2010,4.08427533088502,86.0,3.0
Leeds Trinity & All Saints,Expenditure per student / 10,2.56559929936207,2010,2.56559929936207,113.0,1.0
Liverpool John Moores,Expenditure per student / 10,3.96211493079916,2010,3.96211493079916,91.0,3.0
