aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of North Carolina at Chapel Hill,United States,0,University of North Carolina at Chapel Hill,507,31,31,public,85.1,30,45.3,23,23.9,45,70.9,31,64.6,33,68.6,28,"Biological Sciences,Sport Science",/world-university-rankings/university-north-carolina-chapel-hill
墨尔本大学 UniMelb Australia,Australia,11,University of Melbourne,501,32,32,master_account,76.0,40,46.1,22,82.8,9,70.8,32,72.4,27,62.3,34,"Sport Science,Agriculture & Forestry,Biological Sciences,Veterinary Science",/world-university-rankings/university-melbourne
Boston University,United States,0,Boston University,518,33,33,private,87.6,25,33.8,35,44.2,38,69.9,33,61.5,37,62.0,35,Biological Sciences,/world-university-rankings/boston-university
ETH Zurich,Switzerland,0,ETH Zurich,479,34,34,master_account,73.7,42,-,39,79.7,11,69.4,34,67.2,30,64.0,33,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/eth-zurich
Kyoto University,Japan,0,Kyoto University,516,35,35,master_account,53.7,49,54.3,16,20.5,47,69.0,35,84.3,19,84.7,13,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/kyoto-university
University of York,United Kingdom,0,University of York,586,36,36,master_account,95.1,12,72.9,9,63.3,26,68.7,36,50.1,43,51.7,43,Biological Sciences,/world-university-rankings/university-york
Pohang University of Science and Technology (POSTECH) postech,South Korea,0,Pohang University of Science and Technology (POSTECH),517,37,37,master_account,91.6,16,100.0,3,36.7,40,68.1,37,49.7,44,57.2,38,Biological Sciences,/world-university-rankings/pohang-university-science-and-technology-postech
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,38,38,master_account,72.3,45,61.8,11,76.3,16,67.6,38,62.7,34,65.0,31,"Biological Sciences,Sport Science,Agriculture & Forestry,Veterinary Science",/world-university-rankings/university-queensland
University of Adelaide Adelaide University,Australia,0,University of Adelaide,665,39,39,master_account,89.5,23,60.8,12,68.1,21,66.9,40,50.7,42,52.5,42,"Agriculture & Forestry,Veterinary Science,Biological Sciences",/world-university-rankings/university-adelaide
澳大利亚国立大学 anu,Australia,0,Australian National University,502,39,39,master_account,76.7,38,-,37,92.2,3,66.9,39,62.2,35,53.6,40,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/australian-national-university
University of Dundee,United Kingdom,6,University of Dundee,640,39,39,master_account,96.2,6,76.7,8,66.1,23,66.9,41,49.5,45,43.5,49,Biological Sciences,/world-university-rankings/university-dundee
Monash University,Australia,0,Monash University,581,42,42,master_account,95.6,8,39.7,28,79.2,12,66.6,42,47.2,46,46.6,47,Biological Sciences,/world-university-rankings/monash-university
"University of California, Santa Barbara",United States,0,"University of California, Santa Barbara",499,43,43,public,84.6,32,100.0,4,64.1,25,66.5,43,57.7,40,47.9,45,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-santa-barbara
University of Barcelona,Spain,6,University of Barcelona,667,44,44,master_account,99.7,2,38.9,29,27.2,44,65.4,44,45.6,47,47.7,46,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-barcelona
University of Cape Town UCT,South Africa,6,University of Cape Town,567,45,45,master_account,94.4,14,-,44,79.0,14,65.2,45,45.5,48,42.6,50,"Sport Science,Biological Sciences",/world-university-rankings/university-cape-town
École Normale Supérieure,France,0,École Normale Supérieure,523,46,46,master_account,95.0,13,33.6,36,44.6,37,64.7,46,39.6,50,54.8,39,Biological Sciences,/world-university-rankings/ecole-normale-superieure
伦敦国王学院,United Kingdom,11,King’s College London,520,47,47,master_account,75.4,41,46.9,20,88.3,8,64.6,47,61.7,36,50.2,44,Biological Sciences,/world-university-rankings/kings-college-london
Vanderbilt University,United States,0,Vanderbilt University,534,48,48,private,76.7,39,68.4,10,19.4,48,64.4,48,58.1,39,61.7,36,Biological Sciences,/world-university-rankings/vanderbilt-university
慕尼黑大学 Ludwig-Maximilians-Universität München,Germany,6,LMU Munich,509,49,49,master_account,65.6,46,38.0,30,45.4,36,64.0,49,64.6,32,67.1,29,"Veterinary Science,Biological Sciences",/world-university-rankings/lmu-munich
香港科技大学 hkust,Hong Kong,11,The Hong Kong University of Science and Technology,526,50,50,master_account,84.4,33,99.1,5,98.0,1,63.9,50,44.2,49,46.2,48,Biological Sciences,/world-university-rankings/hong-kong-university-science-and-technology
